Category,Points,Question,Answer,QuestionImageURL,QuestionYouTubeURL,AnswerImageURL,AnswerYouTubeURL
History,101,In what year did World War II end?,1945,https://images.unsplash.com/photo-1773549809566-09143ebf6cc8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwxNHx8fGVufDB8fHx8fA%3D%3D,,,
History,202,Who was the first President of the United States?,George Washington,,https://www.youtube.com/watch?v=E0tTLSCDf7Q,,
History,333,The Great Wall is located in which country?,China,,,https://plus.unsplash.com/premium_photo-1773312631064-23fc7070006e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwxNnx8fGVufDB8fHx8fA%3D%3D,
History,420,Which ancient wonder was located in Egypt?,The Great Pyramid of Giza,,,,
History,569,What year did the Berlin Wall fall?,1989,,,,https://www.youtube.com/watch?v=I2XnX0ZtvOQ
Science,101,What is H2O commonly known as?,Water,,,,
Science,202,What planet is known as the Red Planet?,Mars,https://plus.unsplash.com/premium_photo-1747851576159-8d483776648d?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwyfHx8ZW58MHx8fHx8,,,
Science,333,What is the speed of light?,299792458 meters per second,,https://www.youtube.com/watch?v=Gu-g8FRG4Zs&t=435s,,
Science,420,Who developed the theory of relativity?,Albert Einstein,,,,
Science,569,What is the powerhouse of the cell?,Mitochondria,https://images.unsplash.com/photo-1516247524857-8dc5f4786cb3?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHw0fHx8ZW58MHx8fHx8,,,
Geography,101,What is the capital of France?,Paris,,,,
Geography,202,Which is the largest ocean on Earth?,Pacific Ocean,,,https://images.unsplash.com/photo-1717360564258-f6a9e4bc308c?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwxN3x8fGVufDB8fHx8fA%3D%3D,
Geography,333,Mount Everest is located in which mountain range?,The Himalayas,,https://www.youtube.com/watch?v=AMcVJmb5mvk&t=3742s,,
Geography,420,What is the smallest country in the world?,Vatican City,,,,
Geography,569,Which river is the longest in the world?,The Nile River,https://images.unsplash.com/photo-1763027850730-775742560f41?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwzMnx8fGVufDB8fHx8fA%3D%3D,,,
Literature,101,Who wrote Romeo and Juliet?,William Shakespeare,,,,
Literature,202,What is the first book in the Harry Potter series?,Harry Potter and the Philosopher's Stone,,https://www.youtube.com/watch?v=o1w22-1n-FI,,
Literature,333,Who wrote 1984?,George Orwell,,,https://images.unsplash.com/photo-1774290686682-ac824d987a9e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHw0MXx8fGVufDB8fHx8fA%3D%3D,
Literature,420,What epic poem did Homer write about the Trojan War?,The Iliad,,,,https://www.youtube.com/watch?v=Eeratv7ZKkU
Literature,569,Who wrote Pride and Prejudice?,Jane Austen,https://images.unsplash.com/photo-1773117950168-a7a56f4f8d94?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHw1OXx8fGVufDB8fHx8fA%3D%3D,,,
